Area Code,Item Code,Element Code,Element Name,Num_1995,Symb_1995,Num_1996,Symb_1996,Num_1997,Symb_1997,Num_1998,Symb_1998,Num_1999,Symb_1999,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005,Num_2006,Symb_2006,Num_2007,Symb_2007
1,16,41,Extr Rate (Hg/Mt),7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C
1,16,51,Production (Mt),319800,C,285480,C,269100,C,285480,C,343200,C,312000,C,348660,C,319800,C,358800,C,376740,C,357240,C,370500,C,323700, 
1,19,41,Extr Rate (Hg/Mt),300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C
1,19,51,Production (Mt),12300,C,10980,C,10350,C,10980,C,13200,C,12000,C,13410,C,12300,C,13800,C,14490,C,13740,C,14250,C,12450,C
2,16,41,Extr Rate (Hg/Mt),9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F,9000,F
2,16,51,Production (Mt),1581075,C,1862514,C,1975671,C,2026534.5,C,2134381.5,C,2082406.5,C,1853037,C,1871820,C,2229408,C,2517587,C,2397789,C,2569695.25,C,2953069.25,C
3,16,41,Extr Rate (Hg/Mt),7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C
3,16,51,Production (Mt),340022.031,C,228453.422,C,213868.203,C,183195.484,C,205438.75,C,235469.516,C,229766.938,C,221340.594,C,256222.984,C,258193.266,C,262058.156,C,262654.094,C,262592.469,C
4,16,41,Extr Rate (Hg/Mt),7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C,7700,C
4,16,51,Production (Mt),3386673.25,C,3412178.25,C,3296784,C,4179146.75,C,4461147.5,C,4242195.5,C,4547850,C,4611579.5,C,4907969.5,C,4845831,C,4968741.5,C,4766352.5,C,4769615,C
4,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
4,18,51,Production (Mt),3610.328,C,3437.28,C,4139.112,C,4449.165,C,4499.138,C,4176.517,C,4336.04,C,4401.707,C,4669.356,C,4655.943,C,4720.759,C,4528.434,C,4531.519,C
4,20,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
4,20,51,Production (Mt),135.387,C,128.898,C,130.709,C,140.5,C,142.078,C,131.89,C,136.928,C,139.001,C,147.453,C,147.03,C,149.077,C,143.003,C,143.101,C
4,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
4,22,51,Production (Mt),767.195,C,730.422,C,87.139,C,93.667,C,94.719,C,87.927,C,91.285,C,92.668,C,98.302,C,98.02,C,99.384,C,95.335,C,95.4,C
7,16,41,Extr Rate (Hg/Mt),7683.683,C,7700.194,C,7638.507,C,7705.177,C,7717.038,C,7653.686,C,7807.642,C,7808.78,C,7752.762,C,7717.943,C,7800.722,C,7807.62,C,7994.133,C
7,16,51,Production (Mt),38900,F,37000,F,35500,F,32700,F,21500,F,12500,F,14000,F,12200,F,51300,F,56500,F,23000,F,25000,F,21800,F
7,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
7,18,51,Production (Mt),464.75,C,495,C,517.5,C,519.25,C,536.25,C,599.5,C,473.688,C,677.422,C,795.485,C,865.487,C,853.07,C,957.585,C,888.18,C
7,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
7,20,51,Production (Mt),557.7,C,594,C,621,C,623.1,C,643.5,C,719.4,C,568.425,C,812.907,C,954.582,C,1038.585,C,1023.684,C,1149.102,C,1065.816,C
8,16,41,Extr Rate (Hg/Mt),0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
9,16,41,Extr Rate (Hg/Mt),7410.071,C,7409.775,C,7405.32,C,7404.216,C,7407.042,C,7408.864,C,7410.667,C,7407.189,C,7406.789,C,7400.918,C,7402.322,C,7405.368,C,7402.638,C
9,16,51,Production (Mt),3283000, ,3538000, ,3640100, ,3739200, ,3605300, ,3595300, ,3536700, ,3550000, ,3793000, ,3702580, ,3720390, ,3655000,F,4150000,F
9,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
9,18,51,Production (Mt),0,C,0,C,4500,C,13000,C,3500,C,3150,C,4300,C,7000,C,15900,C,17000,C,31200,C,44300,C,35500,C
9,20,41,Extr Rate (Hg/Mt),12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C,12500,C
9,20,51,Production (Mt),0,C,0,C,75,C,150,C,0,C,0,C,0,C,5375,C,15450,C,12750,C,14000,C,17125,C,18750,C
