HS 2007 code,HS 2007 title,HS 2012 code,HS 2012 title,FCL Item code,FCL Title,Last update: 12 May 2014
010110,"- Pure-bred breeding animals (Live horses, asses, mules and hinnies)",010121,-- Pure-bred breeding animals (Horses),1096,Horses,
010190,"- Other (Live horses, asses, mules and hinnies)",010129,-- Other (Horses),1096,Horses,
"010110
010190","- Pure-bred breeding animals (Live horses, asses, mules and hinnies)
Other (Live horses, asses, mules and hinnies)",010130,- Asses,1107,Asses,
010190,"- Other (Live horses, asses, mules and hinnies)",010190,- Other  (Mules and hinnies),1110,Mules,
010210,- Pure-bred breeding animals (Bovines),010221,-- Pure-bred breeding animals (Cattle),0866,Cattle,
010290,- Other (Bovines),010229,-- Other (Cattle),0866,Cattle,
010210,- Pure-bred breeding animals (Bovines),010231,-- Pure-bred breeding animals (Buffalo),0946,Buffaloes,
010290,- Other (Bovines),010239,-- Other (Buffalo),0946,Buffaloes,
"010210
010290","- Pure-bred breeding animals (Bovines)
- Other (Bovines)",010290,- Other (Bovines),N/A,N/A,
010310,- Pure-bred breeding animals,010310,- Pure-bred breeding animals,1034,Pigs,
010391,-- Weighing less than 50 kg,010391,-- Weighing less than 50 kg,1034,Pigs,
010392,-- Weighing 50 kg or more,010392,-- Weighing 50 kg or more,1034,Pigs,
010410,- Sheep,010410,- Sheep,0976,Sheep,
010420,- Goats,010420,- Goats,1016,Goats,
010511,-- Fowls of the species Gallus domesticus,010511,-- Fowls of the species Gallus domesticus,1057,Chickens,
010512,-- Turkeys,010512,-- Turkeys,1079,Turkeys,
010519,-- Other,010513,-- Ducks (Weighing not more than 185 g),1068,Ducks,
010519,-- Other,010514,-- Geese (Weighing not more than 185 g),1072,Geese,
010519,-- Other,010515,-- Guinea Fowls (Weighing not more than 185 g),1057,Chickens,
010594,-- Fowls of the species Gallus domesticus,010594, -- Fowls of the species Gallus domesticus (more than 185 g),1057,Chickens (Gallus domesticus),
010599,-- Other,010599,-- Other (more than 185 g),1079,Turkeys,
010599,-- Other,010599,-- Other (more than 185 g),1068,Ducks,
010599,-- Other,010599,-- Other (more than 185 g),1072,Geese,
010599,-- Other,010599,-- Other (more than 185 g),1057,Chickens (Guinea fowl + other),
010611,-- Primates,010611,-- Primates,1171,Live animals nes,
010611,- Primates,010611,-- Primates,1169,"Live animals, non food nes",
010612,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",010612,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",1171,Live animals nes,
010612,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",010612,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",1169,"Live animals, non food nes",
010619,-- Other,010613,-- Camels and Other camelids (Camelidae),1126,Camels,
010619,-- Other,010613,-- Camels and Other camelids (Camelidae),1157,Other camelids,
010619,-- Other,010614,-- Rabbits and hares,1140,Rabbits,
010619,-- Other,010619,-- Other,1150,Other rodents,
010619,-- Other,010619,-- Other,1171,Live animals nes,
010619,-- Other,010619,-- Other,1169,"Live animals, non food nes",
010620,- Reptiles (including snakes and turtles),010620,- Reptiles (including snakes and turtles),1171,Live animals nes,
010620,- Reptiles (including snakes and turtles),010620,- Reptiles (including snakes and turtles),1169,"Live animals, non food nes",
010631,-- Birds of prey,010631,-- Birds of prey,1083,Pigeons and other birds,
010632,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1083,Pigeons and other birds,
010639,-- Other (Birds),010633,-- Ostriches; emus (Dromaius novaehollandiae),1171,Live animals nes,
010639,-- Other (Birds),010639,-- Other (Birds),1083,Pigeons and other birds,
010690,- Other (Live animals),010641,-- Bees,1181,Beehives,
010690,- Other (Live animals),010649, -- Other (Insects),1171,Live animals nes,
020110,- Carcasses and half-carcasses,020110,- Carcasses and half-carcasses,0867,Meat of cattle,
020110,- Carcasses and half-carcasses,020110,- Carcasses and half-carcasses,0947,Buffalo meat,
020120,- Other cuts with bone in,020120,- Other cuts with bone in,0867,Meat of cattle,
020120,- Other cuts with bone in,020120,- Other cuts with bone in,0947,Buffalo meat,
020130,- Boneless,020130,- Boneless,0870,"Meat of cattle, boneless",
020130,- Boneless,020130,- Boneless,0947,Buffalo meat,
020210,- Carcasses and half carcasses,020210,Carcasses and half carcasses,0867,Meat of cattle,
020210,- Carcasses and half-carcasses,020210,- Carcasses and half-carcasses,0947,Buffalo meat,
020220,Other cuts with bone in,020220,Other cuts with bone in,0867,Meat of cattle,
020220,- Other cuts with bone in,020220,- Other cuts with bone in,0947,Buffalo meat,
020230,- Boneless,020230,- Boneless,0870,"Meat of cattle, boneless",
020230,- Boneless,020230,- Boneless,0947,Buffalo meat,
020311,-- Carcasses and half-carcasses,020311,-- Carcasses and half-carcasses,1035,Pig meat,
020312,"-- Hams, shoulders and cuts thereof, with bone in",020312,"-- Hams, shoulders and cuts thereof, with bone in",1035,Pig meat,
020319,-- Other,020319,-- Other,1035,Pig meat,
020319,-- Other,020319,-- Other,1038,Pork,
020321,-- Carcasses and half-carcasses,020321,-- Carcasses and half-carcasses,1035,Pig meat,
020322,"-- Hams, shoulders and cuts thereof, with bone in",020322,"-- Hams, shoulders and cuts thereof, with bone in",1035,Pig meat,
020329,-- Other,020329,-- Other,1035,Pig meat,
020329,-- Other,020329,-- Other,1038,Pork,
020410,"- Carcasses and half-carcasses of lamb, fresh or chilled",020410,"- Carcasses and half-carcasses of lamb, fresh or chilled",0977,Meat of sheep,
020421,-- Carcasses and half-carcasses,020421,-- Carcasses and half-carcasses,0977,Meat of sheep,
020422,-- Other cuts with bone in,020422,-- Other cuts with bone in,0977,Meat of sheep,
020423,-- Boneless,020423,-- Boneless,0977,Meat of sheep,
020430,"- Carcasses and half-carcasses of lamb, frozen",020430,"- Carcasses and half-carcasses of lamb, frozen",0977,Meat of sheep,
020441,-- Carcasses and half-carcasses,020441,-- Carcasses and half-carcasses,0977,Meat of sheep,
020442,-- Other cuts with bone in,020442,-- Other cuts with bone in,0977,Meat of sheep,
020443,-- Boneless,020443,-- Boneless,0977,Meat of sheep,
020450,- Meat of goats,020450,- Meat of goats,1017,Goat meat,
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",1097,Horse meat,
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",1108,Meat of asses,
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",1111,Meat of mules,
020610,"- Of bovine animals, fresh or chilled",020610,"- Of bovine animals, fresh or chilled",0868,"Offals of cattle, edible",
020610,"- Of bovine animals, fresh or chilled",020610,"- Of bovine animals, fresh or chilled",0948,"Offals of buffalo, edible",
020621,-- Tongues,020621,-- Tongues,0868,"Offals of cattle, edible",
020621,-- Tongues,020621,-- Tongues,0948,"Offals of buffalo, edible",
020622,-- Livers,020622,-- Livers,0868,"Offals of cattle, edible",
020622,-- Livers,020622,-- Livers,0948,"Offals of buffalo, edible",
020629,-- Other,020629,-- Other,0868,"Offals of cattle, edible",
020629,-- Other,020629,-- Other,0948,"Offals of buffalo, edible",
020630,"- Of swine, fresh or chilled",020630,"- Of swine, fresh or chilled",1036,"Offals of pigs, edible",
020641,-- Livers,020641,-- Livers,1036,"Offals of pigs, edible",
020649,-- Other,020649,-- Other,1036,"Offals of pigs, edible",
020680,"- Other, fresh or chilled",020680,"- Other, fresh or chilled",1098,Offals of horses,
020680,"- Other, fresh or chilled",020680,"- Other, fresh or chilled",1167,Offals nes,
020680,"- Other, fresh or chilled",020680,"- Other, fresh or chilled",0978,"Offals of sheep, edible",
020680,"- Other, fresh or chilled",020680,"- Other, fresh or chilled",1018,"Offals of goats, edible",
020690,"- Other, frozen",020690,"- Other, frozen",1098,Offals of horses,
020690,"- Other, frozen",020690,"- Other, frozen",1167,Offals nes,
020690,"- Other, frozen",020690,"- Other, frozen",0978,"Offals of sheep, edible",
020690,"- Other, frozen",020690,"- Other, frozen",1018,"Offals of goats, edible",
020711,"-- Not cut in pieces, fresh or chilled",020711,"-- Not cut in pieces, fresh or chilled",1058,Chicken meat,
020712,"-- Not cut in pieces, frozen",020712,"-- Not cut in pieces, frozen",1058,Chicken meat,
020713,"-- Cuts and offal, fresh or chilled",020713,"-- Cuts and offal, fresh or chilled",1058,Chicken meat,
020713,"-- Cuts and offal, fresh or chilled",020713,"-- Cuts and offal, fresh or chilled",1059,Offals and liver of chickens,
020714,"-- Cuts and offal, frozen",020714,"-- Cuts and offal, frozen",1058,Chicken meat,
020714,"-- Cuts and offal, frozen",020714,"-- Cuts and offal, frozen",1059,Offals and liver of chickens,
020724,"-- Not cut in pieces, fresh or chilled",020724,"-- Not cut in pieces, fresh or chilled",1080,Turkey meat,
020725,"-- Not cut in pieces, frozen",020725,"-- Not cut in pieces, frozen",1080,Turkey meat,
020726,"-- Cuts and offal, fresh or chilled",020726,"-- Cuts and offal, fresh or chilled",1080,Turkey meat,
020726,"-- Cuts and offal, fresh or chilled",020726,"-- Cuts and offal, fresh or chilled",1081,Offals and liver of turkey,
020727,"-- Cuts and offal, frozen",020727,"-- Cuts and offal, frozen",1080,Turkey meat,
020727,"-- Cuts and offal, frozen",020727,"-- Cuts and offal, frozen",1081,Offals and liver of turkey,
020732,"--  Not cut in pieces, fresh or chilled (ducks, geese or guinea fowls)",020741,"-- Not cut in pieces, Fresh or chilled (of ducks)",1069,Duck meat,
020733,"-- Not cut in pieces, frozen (ducks, geese or guinea fowls)",020742,"-- Not cut in pieces, Frozen (of ducks)",1069,Duck meat,
020734,"-- Fatty livers, fresh or chilled (ducks, geese or guinea fowls)",020743,"-- Fatty Livers, Fresh or chilled (of ducks)",1075,Offals and liver of ducks,
