"itemCode","itemName","incTot","aggCom","weight","target","convType","targetCode","targetName","baseExtraction","fbsCode","fbsName"
15,"WHEAT",1,"T",1,"Target","",15,"WHEAT",,2511,"WHEAT & PRODUCTS"
16,"FLOUR WHEAT",1,"B",1,"","",15,"WHEAT",1.3889,2511,"WHEAT & PRODUCTS"
17,"BRAN WHEAT",1,"B",0,"Target","(cal.)",17,"BRAN WHEAT",,,
18,"MACARONI",1,"B",1,"","",15,"WHEAT",1.3889,2511,"WHEAT & PRODUCTS"
19,"GERM WHEAT",1,"B",0,"Target","(cal.)",19,"GERM WHEAT",,,
20,"BREAD",1,"B",1,"","",15,"WHEAT",1.1574,2511,"WHEAT & PRODUCTS"
21,"BULGUR",1,"B",1,"","",15,"WHEAT",1.0526,2511,"WHEAT & PRODUCTS"
22,"PASTRY",1,"B",1,"","",15,"WHEAT",1.3889,2511,"WHEAT & PRODUCTS"
23,"WHEAT,STARCH",1,"B",1,"","",15,"WHEAT",1.634,2511,"WHEAT & PRODUCTS"
24,"WHEAT GLUTEN",1,"B",0,"Target","(cal.)",24,"WHEAT GLUTEN",,,
26,"WHEAT FER BE",1,"T",1,"Target","",26,"WHEAT FER BE",,,
27,"RICE, PADDY",1,"T",1,"Target","",27,"RICE, PADDY",,2805,"RICE & PROD (MILLEDEQ.)"
28,"RICE,HUSKED",1,"B",1,"","",27,"RICE, PADDY",1.25,2805,"RICE & PROD (MILLEDEQ.)"
29,"MIL/HUS RICE",1,"B",1,"","",27,"RICE, PADDY",1.4706,2805,"RICE & PROD (MILLEDEQ.)"
31,"MIL PAD RICE",1,"B",1,"","",27,"RICE, PADDY",1.4993,2805,"RICE & PROD (MILLEDEQ.)"
32,"RICE,BROKEN",1,"B",1,"","",27,"RICE, PADDY",1.4706,2805,"RICE & PROD (MILLEDEQ.)"
33,"RICE GLUTEN",1,"B",0,"Target","(cal.)",33,"RICE GLUTEN",,,
34,"RICE,STARCH",1,"B",1,"","",27,"RICE, PADDY",1.634,2805,"RICE & PROD (MILLEDEQ.)"
35,"BRAN RICE",1,"B",0,"Target","(cal.)",35,"BRAN RICE",,,
36,"OIL RICE BRN",1,"T",1,"Target","",36,"OIL RICE BRN",,,
37,"CAKE RICEBRN",1,"T",0,"Target","",37,"CAKE RICEBRN",,,
38,"RICE FLOUR",1,"B",1,"","",27,"RICE, PADDY",1.4706,2805,"RICE & PROD (MILLEDEQ.)"
39,"RICE FER BEV",1,"T",1,"Target","",39,"RICE FER BEV",,,
41,"BREAKF CERLS",1,"B",1,"","",15,"WHEAT",1,2511,"WHEAT & PRODUCTS"
44,"BARLEY",1,"T",1,"Target","",44,"BARLEY",,2513,"BARLEY & PRODUCTS"
45,"POT BARLEY",1,"B",1,"","",44,"BARLEY",1.4286,2513,"BARLEY & PRODUCTS"
46,"BARLEY,PEARL",1,"B",1,"","",44,"BARLEY",1.4577,2513,"BARLEY & PRODUCTS"
47,"BRAN BARLEY",1,"B",0,"Target","(cal.)",47,"BRAN BARLEY",,,
48,"BARLEY FL GR",1,"B",1,"","(cal.)",44,"BARLEY",1.4577,2513,"BARLEY & PRODUCTS"
49,"MALT BARLEY",1,"B",1,"","",44,"BARLEY",1.4286,2513,"BARLEY & PRODUCTS"
50,"MALT EXTRACT",1,"B",1,"","",44,"BARLEY",1.7858,2513,"BARLEY & PRODUCTS"
51,"BEER BARLEY",1,"T",1,"Target","",51,"BEER BARLEY",,,
56,"MAIZE",1,"T",1,"Target","",56,"MAIZE",,2514,"MAIZE & PRODUCTS"
57,"GERM MAIZE",1,"B",0,"Target","(cal.)",57,"GERM MAIZE",,,
58,"FLOUR MAIZE",1,"B",1,"","",56,"MAIZE",1.1765,2514,"MAIZE & PRODUCTS"
59,"BRAN MAIZE",1,"B",0,"Target","(cal.)",59,"BRAN MAIZE",,,
60,"OIL MAIZE",1,"T",1,"Target","",60,"OIL MAIZE",,,
61,"CAKE MAIZE",1,"T",1,"Target","",61,"CAKE MAIZE",,,
63,"MAIZE GLUTEN",1,"B",0,"Target","(cal.)",63,"MAIZE GLUTEN",,2514,"MAIZE & PRODUCTS"
64,"STARCH MAIZE",1,"B",1,"","",56,"MAIZE",1.1765,2514,"MAIZE & PRODUCTS"
66,"BEER MAIZE",1,"T",1,"Target","",66,"BEER MAIZE",,,
67,"WHITE MAIZE",0,"T",1,"","",,,,,
68,"POP CORN",1,"T",1,"Target","",68,"POP CORN",,,
71,"RYE",1,"T",1,"Target","",71,"RYE",,2515,"RYE & PRODUCTS"
72,"FLOUR RYE",1,"B",1,"","",71,"RYE",1.25,2515,"RYE & PRODUCTS"
73,"BRAN RYE",1,"B",0,"Target","(cal.)",73,"BRAN RYE",,,
75,"OATS",1,"T",1,"Target","",75,"OATS",,2516,"OATS & PRODUCTS"
