Area Code,Item Code,Element Code,Element Name,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005
1,18,61,Imports - Qty (Mt),7122.000, ,1323.000, ,1148.000,*,1455.000, ,1503.000, ,1502.000, 
1,18,91,Exports - Qty (Mt),10.000, ,1.000, ,0.000,T,1.000, ,0.000,*,0.000,T
1,27,61,Imports - Qty (Mt),2808.000, ,796.000, ,3964.000,*,1105.000, ,430.000, ,23.000, 
1,27,91,Exports - Qty (Mt),0.000,P,0.000, ,0.000,T,0.000,T,0.000,T,0.000,T
1,28,41,Extr Rate (Hg/Mt),8000.000,C,8000.000,C,8000.000,C,8000.000,C,8000.000,C,8000.000,C
1,28,51,Production (Mt),2000.000,C,560.000,C,2560.000,C,400.000,C,320.000,C,0.000,C
1,28,61,Imports - Qty (Mt),8329.000, ,9659.000, ,12516.000, ,12610.000, ,12837.000, ,16045.000, 
1,28,91,Exports - Qty (Mt),1.000,*,1.000,F,0.000,*,0.000,T,0.000,T,5.000, 
1,31,61,Imports - Qty (Mt),700.000, ,620.000, ,0.000, ,414.000, ,170.000, ,363.000, 
1,31,91,Exports - Qty (Mt),1.000,*,1.000,F,0.000,*,0.000,T,0.000,T,0.000,T
1,32,61,Imports - Qty (Mt),0.000,M,0.000,M,0.000,M,0.000,M,0.000,M,20.000, 
1,34,61,Imports - Qty (Mt),0.000,*,15.000, ,7.000, ,10.000, ,14.000, ,11.000, 
1,35,61,Imports - Qty (Mt),0.000,M,0.000,M,0.000,M,0.000,M,0.000,M,0.000,M
1,41,61,Imports - Qty (Mt),18.000, ,34.000, ,54.000, ,73.000, ,193.000, ,193.000, 
1,41,91,Exports - Qty (Mt),0.000,M,0.000,M,0.000,M,0.000,M,0.000,M,0.000,M
1,51,41,Extr Rate (Hg/Mt),66166.664,C,66533.328,C,64346.367,C,66463.641,C,67953.844,C,67193.750,C
1,51,51,Production (Mt),7940.000, ,9980.000, ,7078.100, ,7311.000, ,8834.000, ,10751.000, 
1,51,61,Imports - Qty (Mt),45.000, ,43.000, ,465.000, ,327.000, ,414.000, ,1609.000, 
1,51,91,Exports - Qty (Mt),880.000, ,3975.000, ,1871.000, ,2011.000, ,2551.000, ,3439.000, 
1,113,61,Imports - Qty (Mt),58.000, ,577.000, ,155.000, ,479.000, ,286.000, ,44439.000, 
