geographicAreaFS,Geographic Area,measuredItemParentFS,Item Parent,measuredItemChildFS,Item Child,timePointYearsSP,Year,Value,Aupus Required
2,Afghanistan,328,Seed Cotton,769,Cotton Waste [%],2011,2011,100,Y
2,Afghanistan,329,Cottonseed,770,Cotton Linter [%],2011,2011,100,Y
3,Albania,44,Barley,45,Pot Barley [%],2011,2011,100,Y
3,Albania,44,Barley,47,Bran of Barley [%],2011,2011,100,Y
3,Albania,56,Maize,51,Beer of Barley [%],2011,2011,35,Y
3,Albania,56,Maize,58,Flour of Maize [%],2011,2011,65,Y
3,Albania,159,Beet Sugar,162,"Sugar (Centrifugal, Raw) [%]",2011,2011,100,Y
3,Albania,243,Groundnuts Shelled,244,Oil of Groundnuts [%],2011,2011,100,Y
3,Albania,243,Groundnuts Shelled,245,Cake of Groundnuts [%],2011,2011,100,Y
3,Albania,920,Hides Wet-Salted Cattle,921,Hides Dry-Salted Cattle [%],2011,2011,100,Y
3,Albania,928,Skins Wet-Salt Calves,929,Skins Dry-Salt Calves [%],2011,2011,100,Y
3,Albania,1062,Hen Eggs,1063,Eggs Liquid Hen [%],2011,2011,100,Y
4,Algeria,16,Flour of Wheat,18,Macaroni [%],2011,2011,48,Y
4,Algeria,16,Flour of Wheat,20,Bread [%],2011,2011,50,Y
4,Algeria,116,Potatoes,121,Potato Tapioca [%],2011,2011,0,Y
4,Algeria,257,Oil of Palm,1277,Res Fatty Subst 431.32 [%],2011,2011,100,Y
4,Algeria,577,Dates,623,Fruit Prepared nes [%],2011,2011,100,Y
4,Algeria,882,"Cow Milk, Whole, Fresh",886,Butter of Cow Milk [%],2011,2011,95,Y
4,Algeria,882,"Cow Milk, Whole, Fresh",888,Skim Milk of Cows [%],2011,2011,95,Y
4,Algeria,882,"Cow Milk, Whole, Fresh",892,Yogurt Concentr.Or Not [%],2011,2011,5,Y
7,Angola,27,"Rice, Paddy",28,"Rice, Husked [%]",2011,2011,75,Y
7,Angola,27,"Rice, Paddy",31,Milled Paddy Rice [%],2011,2011,25,Y
7,Angola,27,"Rice, Paddy",35,Bran of Rice [%],2011,2011,25,Y
