Item.Code,Item.Name,FBS.Parent.Code,FBS.Parent.Name,Target.Parent.Code,Target.Parent.Name,Commodity.Parent.Code,Commodity.Parent.Name,Notes,Default.Extraction.Rates,Input,Output,Aggregate.Method,Weight,Target,FBS.Code,FBS.Name,Use.Calorie
15,WHEAT,2511,WHEAT & PRODUCTS,15,WHEAT,15,WHEAT,,10000,INP,,T,1,Target,2511,WHEAT & PRODUCTS,0
16,FLOUR WHEAT,15,WHEAT,15,WHEAT,15,WHEAT,,7200,INP,OUT,B,1,,,,0
17,BRAN WHEAT,2511,WHEAT & PRODUCTS,17,BRAN WHEAT,15,WHEAT,,2000,INP,OUT,B,0,Target,2511,WHEAT & PRODUCTS,1
18,MACARONI,16,FLOUR WHEAT,16,FLOUR WHEAT,16,FLOUR WHEAT,,10000,,OUT,B,1,,,,0
19,GERM WHEAT,2511,WHEAT & PRODUCTS,19,GERM WHEAT,15,WHEAT,,200,,OUT,B,0,Target,2511,WHEAT & PRODUCTS,1
20,BREAD,16,FLOUR WHEAT,16,FLOUR WHEAT,16,FLOUR WHEAT,,12000,,OUT,B,1,,,,0
21,BULGUR,15,WHEAT,15,WHEAT,15,WHEAT,,9500,,OUT,B,1,,,,0
22,PASTRY,16,FLOUR WHEAT,16,FLOUR WHEAT,16,FLOUR WHEAT,,10000,,OUT,B,1,,,,0
23,"WHEAT,STARCH",16,FLOUR WHEAT,16,FLOUR WHEAT,16,FLOUR WHEAT,,8500,INP,OUT,B,1,,,,0
24,WHEAT GLUTEN,2511,WHEAT & PRODUCTS,24,WHEAT GLUTEN,16,FLOUR WHEAT,,1100,INP,OUT,B,0,Target,2511,WHEAT & PRODUCTS,1
26,WHEAT FER BE,2657,"BEVERAGES, FERMENTED",26,WHEAT FER BE,16,FLOUR WHEAT,,4500,,OUT,T,1,Target,2657,"BEVERAGES, FERMENTED",0
41,BREAKF CERLS,15,WHEAT,15,WHEAT,15,WHEAT,,10000,,OUT,B,1,,,,0
49,MALT BARLEY,44,BARLEY,44,BARLEY,44,BARLEY,,7000,INP,OUT,B,1,,,,0
50,MALT EXTRACT,49,MALT BARLEY,49,MALT BARLEY,49,MALT BARLEY,,8000,INP,OUT,B,1,,,,0
51,BEER BARLEY,2656,"BARLEY, BEER",51,BEER BARLEY,51,BEER BARLEY,,8000,,OUT,T,1,Target,2656,"BARLEY, BEER",0
110,WAFERS,16,FLOUR WHEAT,16,FLOUR WHEAT,16,FLOUR WHEAT,,10000,,OUT,B,1,,,,0
113,CER PREP NES,108,CEREALS NES,108,CEREALS NES,108,CEREALS NES,,6000,,OUT,B,1,,,,0
154,FRUCTOSE CHE,2543,"SWEETENERS, OTHER &PROD",154,FRUCTOSE CHE,154,FRUCTOSE CHE,,,,,X,1,Target,2543,"SWEETENERS, OTHER &PROD",0
155,MALTOSE CHEM,2543,"SWEETENERS, OTHER &PROD",155,MALTOSE CHEM,155,MALTOSE CHEM,,,,,X,1,Target,2543,"SWEETENERS, OTHER &PROD",0
166,OTHER FRUCTO,2543,"SWEETENERS, OTHER &PROD",166,OTHER FRUCTO,64,STARCH MAIZE,,,,OUT,T,1,Target,2543,"SWEETENERS, OTHER &PROD",0
168,SUGAR CONF,164,SUGAR REFIND,164,SUGAR REFIND,164,SUGAR REFIND,,22000,,OUT,B,1,,,,0
171,SUGARS FLAV,164,SUGAR REFIND,164,SUGAR REFIND,164,SUGAR REFIND,,10000,,OUT,B,1,,,,0
172,GLUC. DEXTR.,2543,"SWEETENERS, OTHER &PROD",172,GLUC. DEXTR.,64,STARCH MAIZE,,10000,INP,OUT,T,1,Target,2543,"SWEETENERS, OTHER &PROD",0
175,ISOGLUCOSE,172,GLUC. DEXTR.,172,GLUC. DEXTR.,172,GLUC. DEXTR.,,10000,,OUT,B,1,,,,0
632,ALC NON FOOD,2659,"ALCOHOL, NON FOOD",632,ALC NON FOOD,165,MOLASSES,,10000,INP,OUT,T,1,Target,2659,"ALCOHOL, NON FOOD",0
633,BEV NON ALC,172,GLUC. DEXTR.,172,GLUC. DEXTR.,172,GLUC. DEXTR.,,40000,,OUT,B,1,,,,0
634,BEV DIS ALC,2658,"BEVERAGES, ALCOHOLIC",634,BEV DIS ALC,165,MOLASSES,,4400,,OUT,T,1,Target,2658,"BEVERAGES, ALCOHOLIC",0
654,"DREGS,BR+DIS",0,,654,"DREGS,BR+DIS",,,No entry,,INP,,T,1,Target,,,0
846,GLUT FEED&ME,63,MAIZE GLUTEN,63,MAIZE GLUTEN,63,MAIZE GLUTEN,,20000,,OUT,B,1,,,,0
