Area Code,Area Name,Item Code,Item Name,Element Code,Element Name,Year,Num,Symb
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2000,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2001,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2002,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2003,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2004,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2005,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2006,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2007,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2008,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2009,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2010,334, 
231,USA,15,Wheat,261,Food: Total Calories Eqv (Mln U),2011,334, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2000,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2001,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2002,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2003,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2004,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2005,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2006,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2007,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2008,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2009,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2010,122, 
231,USA,15,Wheat,271,Food: Total Proteins Eqv (Mt),2011,122, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2000,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2001,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2002,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2003,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2004,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2005,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2006,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2007,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2008,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2009,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2010,23, 
231,USA,15,Wheat,281,Food: Total Fats Eqv (Mt),2011,23, 
231,USA,16,Flour of Wheat,141,Food (Mt),2000,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2001,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2002,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2003,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2004,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2005,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2006,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2007,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2008,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2009,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2010,0,B
231,USA,16,Flour of Wheat,141,Food (Mt),2011,0,B
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2000,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2001,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2002,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2003,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2004,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2005,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2006,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2007,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2008,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2009,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2010,353, 
231,USA,16,Flour of Wheat,261,Food: Total Calories Eqv (Mln U),2011,353, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2000,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2001,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2002,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2003,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2004,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2005,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2006,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2007,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2008,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2009,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2010,115, 
231,USA,16,Flour of Wheat,271,Food: Total Proteins Eqv (Mt),2011,115, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2000,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2001,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2002,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2003,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2004,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2005,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2006,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2007,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2008,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2009,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2010,14, 
231,USA,16,Flour of Wheat,281,Food: Total Fats Eqv (Mt),2011,14, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2000,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2001,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2002,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2003,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2004,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2005,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2006,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2007,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2008,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2009,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2010,213, 
231,USA,17,Bran of Wheat,261,Food: Total Calories Eqv (Mln U),2011,213, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2000,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2001,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2002,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2003,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2004,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2005,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2006,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2007,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2008,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2009,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2010,121, 
231,USA,17,Bran of Wheat,271,Food: Total Proteins Eqv (Mt),2011,121, 
231,USA,17,Bran of Wheat,281,Food: Total Fats Eqv (Mt),2000,31, 
231,USA,17,Bran of Wheat,281,Food: Total Fats Eqv (Mt),2001,31, 
231,USA,17,Bran of Wheat,281,Food: Total Fats Eqv (Mt),2002,31, 
231,USA,17,Bran of Wheat,281,Food: Total Fats Eqv (Mt),2003,31, 
231,USA,17,Bran of Wheat,281,Food: Total Fats Eqv (Mt),2004,31, 
231,USA,17,Bran of Wheat,281,Food: Total Fats Eqv (Mt),2005,31, 
