geographicAreaFS,Geographic Area,measuredItemFS,Item,measuredElementFS,Element,timePointYears,Year,Value,Status
2,Afghanistan,15,Wheat,41,Productivity Indicator,2011,2011,15179.2115,C
2,Afghanistan,16,Flour of Wheat,41,Productivity Indicator,2011,2011,8500,F
2,Afghanistan,17,Bran of Wheat,41,Productivity Indicator,2011,2011,1000,F
2,Afghanistan,27,"Rice, Paddy",41,Productivity Indicator,2011,2011,32000,C
2,Afghanistan,31,Milled Paddy Rice,41,Productivity Indicator,2011,2011,6700,F
2,Afghanistan,35,Bran of Rice,41,Productivity Indicator,2011,2011,800,F
2,Afghanistan,44,Barley,41,Productivity Indicator,2011,2011,16100,C
2,Afghanistan,56,Maize,41,Productivity Indicator,2011,2011,16400,C
2,Afghanistan,58,Flour of Maize,41,Productivity Indicator,2011,2011,8500,C
2,Afghanistan,59,Bran of Maize,41,Productivity Indicator,2011,2011,1300,C
2,Afghanistan,79,Millet,41,Productivity Indicator,2011,2011,30000,C
2,Afghanistan,80,Flour of Millet,41,Productivity Indicator,2011,2011,8000,C
2,Afghanistan,81,Bran of Millet,41,Productivity Indicator,2011,2011,1800,C
2,Afghanistan,116,Potatoes,41,Productivity Indicator,2011,2011,100000,C
2,Afghanistan,156,Sugar Cane,41,Productivity Indicator,2011,2011,300000,C
2,Afghanistan,157,Sugar Beets,41,Productivity Indicator,2011,2011,130000,C
2,Afghanistan,158,Cane Sugar,41,Productivity Indicator,2011,2011,1000,C
2,Afghanistan,159,Beet Sugar,41,Productivity Indicator,2011,2011,984.51037,C
2,Afghanistan,164,Sugar Refined,41,Productivity Indicator,2011,2011,9200,C
2,Afghanistan,165,Molasses,41,Productivity Indicator,2011,2011,500,C
2,Afghanistan,169,"Beet Pulp, Dry",41,Productivity Indicator,2011,2011,700,C
2,Afghanistan,170,Bagasse,41,Productivity Indicator,2011,2011,2500,C
2,Afghanistan,211,Pulses nes,41,Productivity Indicator,2011,2011,8271.60494,C
2,Afghanistan,221,Almonds,41,Productivity Indicator,2011,2011,45000.3712,C
2,Afghanistan,222,Walnuts,41,Productivity Indicator,2011,2011,60000,C
2,Afghanistan,223,Pistachios,41,Productivity Indicator,2011,2011,11111.1111,C
2,Afghanistan,231,Almonds Shelled,41,Productivity Indicator,2011,2011,5000,C
2,Afghanistan,232,Walnuts Shelled,41,Productivity Indicator,2011,2011,5000,C
2,Afghanistan,234,Nuts nes,41,Productivity Indicator,2011,2011,18674.9717,C
2,Afghanistan,260,Olives,41,Productivity Indicator,2011,2011,30000,C
2,Afghanistan,261,Oil of Olive,41,Productivity Indicator,2011,2011,1200,C
2,Afghanistan,267,Sunflower Seed,41,Productivity Indicator,2011,2011,13518.3066,C
2,Afghanistan,268,Oil of Sunflower Seed,41,Productivity Indicator,2011,2011,2500,C
2,Afghanistan,269,Cake of Sunflower Seed,41,Productivity Indicator,2011,2011,7000,C
2,Afghanistan,273,Olive Residues,41,Productivity Indicator,2011,2011,8500,C
2,Afghanistan,289,Sesame Seed,41,Productivity Indicator,2011,2011,6808.51064,C
2,Afghanistan,290,Oil of Sesame Seed,41,Productivity Indicator,2011,2011,4000,C
2,Afghanistan,291,Cake of Sesame Seed,41,Productivity Indicator,2011,2011,5300,C
2,Afghanistan,328,Seed Cotton,41,Productivity Indicator,2011,2011,10000,C
2,Afghanistan,329,Cottonseed,41,Productivity Indicator,2011,2011,6500,C
2,Afghanistan,331,Oil of Cotton Seed,41,Productivity Indicator,2011,2011,1800,C
2,Afghanistan,332,Cake of Cotton Seed,41,Productivity Indicator,2011,2011,4500,C
2,Afghanistan,333,Linseed,41,Productivity Indicator,2011,2011,6340.34999,C
2,Afghanistan,334,Oil of Linseed,41,Productivity Indicator,2011,2011,3400,C
2,Afghanistan,335,Cake of Linseed,41,Productivity Indicator,2011,2011,6400,C
2,Afghanistan,463,Vegetables Fresh nes,41,Productivity Indicator,2011,2011,89355.5233,C
2,Afghanistan,469,Vegetables Dehydrated,41,Productivity Indicator,2011,2011,2000,C
2,Afghanistan,490,Oranges,41,Productivity Indicator,2011,2011,60000,C
2,Afghanistan,512,Citrus Fruit nes,41,Productivity Indicator,2011,2011,100000,C
2,Afghanistan,515,Apples,41,Productivity Indicator,2011,2011,70000,C
2,Afghanistan,521,Pears,41,Productivity Indicator,2011,2011,133333.333,C
2,Afghanistan,526,Apricots,41,Productivity Indicator,2011,2011,67359.375,C
2,Afghanistan,527,Dry Apricots,41,Productivity Indicator,2011,2011,3000,C
2,Afghanistan,534,Peaches and Nectarines,41,Productivity Indicator,2011,2011,80000,C
2,Afghanistan,536,Plums,41,Productivity Indicator,2011,2011,74752.6316,C
2,Afghanistan,537,"Plums, Dried (Prunes)",41,Productivity Indicator,2011,2011,2500,C
2,Afghanistan,541,"Stone Fruit nes, Fresh",41,Productivity Indicator,2011,2011,70592.0429,C
2,Afghanistan,558,Berries nes,41,Productivity Indicator,2011,2011,64752.6316,C
2,Afghanistan,560,Grapes,41,Productivity Indicator,2011,2011,80000,C
2,Afghanistan,561,Raisins,41,Productivity Indicator,2011,2011,2500,C
2,Afghanistan,567,Watermelons,41,Productivity Indicator,2011,2011,90000,C
2,Afghanistan,568,Cantaloupes&oth Melons,41,Productivity Indicator,2011,2011,101144.961,C
2,Afghanistan,569,Figs,41,Productivity Indicator,2011,2011,40000,C
2,Afghanistan,570,"Figs, Dried",41,Productivity Indicator,2011,2011,3000,C
2,Afghanistan,619,Fruit Fresh nes,41,Productivity Indicator,2011,2011,70000,C
2,Afghanistan,620,Fruit Dried nes,41,Productivity Indicator,2011,2011,3000,C
2,Afghanistan,711,"Anise, Badian, Fennel",41,Productivity Indicator,2011,2011,6596.44323,C
2,Afghanistan,767,Cotton Lint,41,Productivity Indicator,2011,2011,3300,C
2,Afghanistan,769,Cotton Waste,41,Productivity Indicator,2011,2011,200,C
2,Afghanistan,770,Cotton Linter,41,Productivity Indicator,2011,2011,200,C
2,Afghanistan,867,Beef and Veal,41,Productivity Indicator,2011,2011,1799.92174,C
2,Afghanistan,868,"Offals of Cattle, Edible",41,Productivity Indicator,2011,2011,300,C
2,Afghanistan,869,Fat of Cattle,41,Productivity Indicator,2011,2011,30.000001,C
2,Afghanistan,882,"Cow Milk, Whole, Fresh",41,Productivity Indicator,2011,2011,3692.10526,C
2,Afghanistan,886,Butter of Cow Milk,41,Productivity Indicator,2011,2011,500,C
2,Afghanistan,888,Skim Milk of Cows,41,Productivity Indicator,2011,2011,9400,C
2,Afghanistan,903,"Whey, Fresh",41,Productivity Indicator,2011,2011,7000,C
2,Afghanistan,919,"Cattle Hides, Fresh",41,Productivity Indicator,2011,2011,200,C
2,Afghanistan,920,Hides Wet-Salted Cattle,41,Productivity Indicator,2011,2011,8000,C
2,Afghanistan,944,Indigenous Cattle Meat,41,Productivity Indicator,2011,2011,1800,F
2,Afghanistan,945,Biological Cattle Meat,41,Productivity Indicator,2011,2011,3384,F
2,Afghanistan,977,Mutton and Lamb,41,Productivity Indicator,2011,2011,159.279778,C
2,Afghanistan,978,"Offals of Sheep, Edible",41,Productivity Indicator,2011,2011,31.999999,C
2,Afghanistan,979,Fat of Sheep,41,Productivity Indicator,2011,2011,15.000001,C
2,Afghanistan,982,Sheep Milk,41,Productivity Indicator,2011,2011,300,C
2,Afghanistan,983,Butter+Ghee (Sheep Milk),41,Productivity Indicator,2011,2011,500,C
2,Afghanistan,984,Cheese of Sheep Milk,41,Productivity Indicator,2011,2011,2000,C
2,Afghanistan,985,Skim Sheep Milk,41,Productivity Indicator,2011,2011,9200,C
2,Afghanistan,987,"Wool, Greasy",41,Productivity Indicator,2011,2011,11.989903,C
2,Afghanistan,995,"Sheepskins, Fresh",41,Productivity Indicator,2011,2011,25,C
2,Afghanistan,996,Skin Wet-Salted Sheep,41,Productivity Indicator,2011,2011,8000,C
2,Afghanistan,997,Skin Dry-Salted Sheep,41,Productivity Indicator,2011,2011,5000,C
2,Afghanistan,1012,Indigenous Sheep Meat,41,Productivity Indicator,2011,2011,160.000002,C
2,Afghanistan,1013,Biological Sheep Meat,41,Productivity Indicator,2011,2011,327.999997,C
2,Afghanistan,1017,Goat Meat,41,Productivity Indicator,2011,2011,129.999995,C
2,Afghanistan,1018,"Offals of Goats, Edible",41,Productivity Indicator,2011,2011,25,C
2,Afghanistan,1019,Fat of Goats,41,Productivity Indicator,2011,2011,6,C
2,Afghanistan,1020,Goat Milk,41,Productivity Indicator,2011,2011,500,C
2,Afghanistan,1021,Cheese of Goat Milk,41,Productivity Indicator,2011,2011,1500,C
2,Afghanistan,1025,"Goatskins, Fresh",41,Productivity Indicator,2011,2011,25,C
2,Afghanistan,1026,Skins Wet-Salted Goats,41,Productivity Indicator,2011,2011,8000,C
2,Afghanistan,1027,Skins Dry-Salted Goats,41,Productivity Indicator,2011,2011,5000,C
2,Afghanistan,1032,Indigenous Goat Meat,41,Productivity Indicator,2011,2011,129.999995,C
2,Afghanistan,1033,Biological Goat Meat,41,Productivity Indicator,2011,2011,320.000005,C
2,Afghanistan,1058,Chicken Meat,41,Productivity Indicator,2011,2011,8000,C
2,Afghanistan,1062,Hen Eggs,41,Productivity Indicator,2011,2011,17927.0833,C
2,Afghanistan,1094,Indigenous Chicken Meat,41,Productivity Indicator,2011,2011,8000,C
2,Afghanistan,1095,Biological Chicken Meat,41,Productivity Indicator,2011,2011,10800,C
2,Afghanistan,1127,Meat of Camels,41,Productivity Indicator,2011,2011,1800,C
2,Afghanistan,1128,"Offals of Camel, Edible",41,Productivity Indicator,2011,2011,270.000005,C
2,Afghanistan,1129,Fat of Camels,41,Productivity Indicator,2011,2011,125.999999,C
2,Afghanistan,1130,Camel Milk,41,Productivity Indicator,2011,2011,3000,C
2,Afghanistan,1133,"Camel Hides, Fresh",41,Productivity Indicator,2011,2011,300,C
2,Afghanistan,1137,Indigenous Camel Meat,41,Productivity Indicator,2011,2011,1800,C
2,Afghanistan,1138,Biological Camel Meat,41,Productivity Indicator,2011,2011,3600,C
3,Albania,15,Wheat,41,Productivity Indicator,2011,2011,42300.5244,C
3,Albania,16,Flour of Wheat,41,Productivity Indicator,2011,2011,7800,C
