"Area.Code","Item.Code","Year","ExtractRate"
1,15,2005,10000
1,15,2006,10000
1,15,2007,10000
1,15,2008,10000
1,15,2009,10000
1,15,2010,10000
1,15,2011,10000
1,16,2005,7800
1,16,2006,7800
1,16,2007,7800
1,16,2008,7800
1,16,2009,7800
1,16,2010,7800
1,16,2011,7800
1,17,2005,1700
1,17,2006,1700
1,17,2007,1700
1,17,2008,1700
1,17,2009,1700
1,17,2010,1700
1,17,2011,1700
1,19,2005,300
1,19,2006,300
1,19,2007,300
1,19,2008,300
1,19,2009,300
1,19,2010,300
1,19,2011,300
1,49,2005,8000
1,49,2006,8000
1,49,2007,8000
1,49,2008,8000
1,49,2009,8000
1,49,2010,8000
1,49,2011,8000
1,51,2005,67193.75
1,51,2006,66410.526
1,51,2007,64616.667
1,51,2008,65793.75
1,51,2009,63731.765
1,51,2010,66750.87
1,51,2011,67019.545
1,633,2005,50665.625
1,633,2006,50257.746
1,633,2007,51321.918
1,633,2008,52660.714
1,633,2009,50497.297
1,633,2010,49684.545
1,633,2011,50281.319
1,634,2005,3598.596
1,634,2006,3597.727
1,634,2007,3606.174
1,634,2008,3600.513
1,634,2009,3645.197
1,634,2010,3602.941
1,634,2011,3608.235
1,654,2005,5000
1,654,2006,5000
1,654,2007,5000
1,654,2008,5000
1,654,2009,5000
1,654,2010,5000
1,654,2011,5000
2,15,2005,10000
2,15,2006,10000
2,15,2007,10000
2,15,2008,10000
2,15,2009,10000
2,15,2010,10000
2,15,2011,10000
2,16,2005,8500
2,16,2006,8500
2,16,2007,8500
2,16,2008,8500
2,16,2009,8500
2,16,2010,8500
2,16,2011,8500
2,17,2005,1000
2,17,2006,1000
2,17,2007,1000
2,17,2008,1000
2,17,2009,1000
2,17,2010,1000
2,17,2011,1000
3,15,2005,10000
3,15,2006,10000
3,15,2007,10000
3,15,2008,10000
3,15,2009,10000
3,15,2010,10000
3,15,2011,10000
3,16,2005,7800
3,16,2006,7800
3,16,2007,7800
3,16,2008,7800
3,16,2009,7800
3,16,2010,7800
3,16,2011,7800
3,17,2005,2000
3,17,2006,2000
3,17,2007,2000
3,17,2008,2000
3,17,2009,2000
3,17,2010,2000
3,17,2011,2000
3,49,2005,0
3,49,2006,0
3,49,2007,0
3,49,2008,0
3,49,2009,0
3,49,2010,0
3,49,2011,0
3,51,2005,60184.991
3,51,2006,60786.026
3,51,2007,60023.023
3,51,2008,60153.117
3,51,2009,59942.224
3,51,2010,78534.031
3,51,2011,96687.405
3,633,2005,5000
3,633,2006,5000
3,633,2007,5000
3,633,2008,5000
3,633,2009,5000
3,633,2010,5000
3,633,2011,5000
3,634,2005,6361.323
3,634,2006,6313.131
3,634,2007,6410.256
3,634,2008,6393.862
3,634,2009,6443.299
3,634,2010,6358.974
3,634,2011,6410.256
3,654,2005,3500
3,654,2006,3500
3,654,2007,3500
3,654,2008,3500
3,654,2009,3500
3,654,2010,3500
3,654,2011,3500
4,15,2005,10000
4,15,2006,10000
4,15,2007,10000
4,15,2008,10000
4,15,2009,10000
4,15,2010,10000
4,15,2011,10000
4,16,2005,7700
4,16,2006,7700
4,16,2007,7700
4,16,2008,7700
4,16,2009,7700
4,16,2010,7700
4,16,2011,7700
4,17,2005,2000
4,17,2006,2000
4,17,2007,2000
4,17,2008,2000
4,17,2009,2000
4,17,2010,2000
4,17,2011,2000
4,18,2005,10000
4,18,2006,10000
4,18,2007,10000
4,18,2008,10000
4,18,2009,10000
4,18,2010,10000
4,18,2011,10000
4,20,2005,10000
4,20,2006,10000
4,20,2007,10000
4,20,2008,10000
4,20,2009,10000
4,20,2010,10000
4,20,2011,10000
4,22,2005,10000
4,22,2006,10000
4,22,2007,10000
4,22,2008,10000
4,22,2009,10000
4,22,2010,10000
4,22,2011,10000
4,49,2005,8000
4,49,2006,8000
4,49,2007,8000
4,49,2008,8000
4,49,2009,8000
4,49,2010,8000
4,49,2011,8000
4,51,2005,71397.166
4,51,2006,64313.645
4,51,2007,56391.793
4,51,2008,60493.537
4,51,2009,51252.013
4,51,2010,52119.913
4,51,2011,51774.077
4,168,2005,10000
4,168,2006,10000
4,168,2007,10000
4,168,2008,10000
4,168,2009,10000
4,168,2010,10000
4,168,2011,10000
4,171,2005,10000
4,171,2006,10000
4,171,2007,10000
4,171,2008,10000
4,171,2009,10000
4,171,2010,10000
4,171,2011,10000
4,633,2005,12000
4,633,2006,12000
4,633,2007,12000
4,633,2008,12000
4,633,2009,12000
4,633,2010,12000
4,633,2011,12000
4,634,2005,176.768
4,634,2006,176.768
4,634,2007,176.768
4,634,2008,176.768
4,634,2009,176.768
4,634,2010,176.768
4,634,2011,176.768
4,654,2005,4000
4,654,2006,4000
4,654,2007,4000
4,654,2008,4000
4,654,2009,4000
4,654,2010,4000
4,654,2011,4000
7,15,2005,10000
