"Area.Code","Item.Code","Element.Code","Year","Trade"
1,15,5611,2005,319.043
1,15,5911,2005,0.003
1,16,5611,2005,1.331
1,16,5911,2005,0
1,17,5611,2005,0
1,17,5911,2005,0
1,18,5611,2005,1.502
1,18,5911,2005,0
1,20,5611,2005,0.11
1,20,5911,2005,0
1,22,5611,2005,2.371
1,22,5911,2005,0.12
1,23,5611,2005,0
1,24,5611,2005,0
1,41,5611,2005,0.193
1,41,5911,2005,0
1,49,5611,2005,2.792
1,49,5911,2005,0
1,50,5611,2005,0.008
1,50,5911,2005,0
1,51,5611,2005,1.609
1,51,5911,2005,3.439
1,113,5611,2005,44.439
1,113,5911,2005,0.018
1,154,5611,2005,0.01
1,166,5611,2005,0
1,168,5611,2005,2.031
1,168,5911,2005,0.042
1,172,5611,2005,0.011
1,172,5911,2005,0
1,175,5611,2005,0
1,632,5611,2005,0.589
1,632,5911,2005,0
1,633,5611,2005,6.991
1,633,5911,2005,1.384
1,634,5611,2005,3.88
1,634,5911,2005,18.385
1,846,5611,2005,0.029
2,15,5611,2005,245.95
2,16,5611,2005,612.613
2,18,5611,2005,5.568
2,20,5611,2005,0.409
2,22,5611,2005,37.702
2,51,5611,2005,2.484
2,168,5611,2005,13.267
2,633,5611,2005,58.582
2,634,5611,2005,0.201
3,15,5611,2005,314.972
3,15,5911,2005,0
3,16,5611,2005,45.538
3,16,5911,2005,0
3,17,5611,2005,2.754
3,17,5911,2005,1.95
3,18,5611,2005,19.016
3,18,5911,2005,0
3,20,5611,2005,1.224
3,20,5911,2005,0
3,22,5611,2005,12.567
3,22,5911,2005,0.083
3,23,5611,2005,0.021
3,24,5611,2005,0.08
3,41,5611,2005,0.459
3,41,5911,2005,0
3,49,5611,2005,5.756
3,50,5611,2005,0.001
3,50,5911,2005,0
3,51,5611,2005,20.144
3,51,5911,2005,0.131
3,110,5611,2005,1.001
3,110,5911,2005,0.001
3,113,5611,2005,0
3,113,5911,2005,0.02
3,154,5611,2005,0
3,155,5611,2005,0
3,155,5911,2005,0
3,166,5611,2005,0.015
3,168,5611,2005,1.404
3,168,5911,2005,0.007
3,172,5611,2005,0.522
3,172,5911,2005,0
3,175,5611,2005,0
3,632,5611,2005,0.466
3,633,5611,2005,14.576
3,633,5911,2005,11.871
3,634,5611,2005,0.944
3,634,5911,2005,0.077
3,654,5611,2005,0
3,846,5611,2005,0.001
4,15,5611,2005,5683.349
4,15,5911,2005,0
4,16,5611,2005,0.478
4,16,5911,2005,10.061
4,17,5611,2005,1.423
4,17,5911,2005,0
4,18,5611,2005,1.928
4,18,5911,2005,0.029
4,20,5611,2005,0.553
4,20,5911,2005,0.01
4,22,5611,2005,7.235
4,22,5911,2005,0.068
4,23,5611,2005,0.207
4,24,5611,2005,0.07
4,41,5611,2005,0.497
4,41,5911,2005,0.003
4,49,5611,2005,11.712
4,50,5611,2005,0.075
4,50,5911,2005,0
4,51,5611,2005,11.101
4,51,5911,2005,0.006
4,110,5611,2005,0
4,113,5611,2005,0.26
4,113,5911,2005,0
4,154,5611,2005,0.171
4,166,5611,2005,0.119
4,168,5611,2005,8.608
4,168,5911,2005,0.017
4,172,5611,2005,10.571
4,172,5911,2005,0
4,632,5611,2005,2.576
4,632,5911,2005,0
4,633,5611,2005,0.601
4,633,5911,2005,7.719
4,634,5611,2005,0.837
4,634,5911,2005,0.001
4,654,5611,2005,0
4,846,5611,2005,0.166
5,16,5611,2005,0.098
5,22,5611,2005,0.362
5,41,5611,2005,0.192
5,51,5611,2005,0.221
5,168,5611,2005,0.042
5,633,5611,2005,2.01
5,634,5611,2005,0.012
7,15,5611,2005,27.334
7,16,5611,2005,322.746
7,16,5911,2005,0.022
7,17,5911,2005,0
7,18,5611,2005,48.976
7,18,5911,2005,0.028
7,20,5611,2005,5.904
7,20,5911,2005,0.071
7,22,5611,2005,23.446
7,22,5911,2005,0
7,41,5611,2005,0.277
7,49,5611,2005,34.856
7,50,5611,2005,0.003
7,51,5611,2005,85.37
7,51,5911,2005,0.08
7,110,5611,2005,0.767
7,168,5611,2005,10.495
7,168,5911,2005,0.004
7,633,5611,2005,22.251
7,633,5911,2005,0.003
7,634,5611,2005,18.385
7,634,5911,2005,0
8,15,5611,2005,0
8,16,5611,2005,4.452
8,16,5911,2005,0
8,17,5611,2005,0.003
8,18,5611,2005,0.457
8,18,5911,2005,0
8,20,5611,2005,0.322
8,22,5611,2005,0.973
8,22,5911,2005,0.001
8,24,5611,2005,0
8,41,5611,2005,0.645
8,49,5611,2005,0.283
8,49,5911,2005,0
8,51,5611,2005,1.781
8,51,5911,2005,0.028
8,113,5611,2005,0.006
8,154,5611,2005,0
8,155,5611,2005,0
8,166,5611,2005,0
8,168,5611,2005,0.295
8,168,5911,2005,0.01
8,172,5611,2005,0.002
8,175,5611,2005,0
8,632,5611,2005,0.003
8,633,5611,2005,10.088
8,633,5911,2005,0.172
8,634,5611,2005,1.098
8,634,5911,2005,0.174
9,15,5611,2005,0.147
9,15,5911,2005,10431.146
9,16,5611,2005,0.103
9,16,5911,2005,20.6
9,17,5611,2005,0.008
9,17,5911,2005,79.433
9,18,5611,2005,0.937
9,18,5911,2005,32.055
9,20,5611,2005,0.625
9,20,5911,2005,14.615
9,22,5611,2005,3.954
9,22,5911,2005,29.341
9,23,5611,2005,0
9,23,5911,2005,2.046
9,24,5611,2005,0.646
9,24,5911,2005,0.635
9,41,5611,2005,3.558
9,41,5911,2005,8.933
9,49,5611,2005,1.521
9,49,5911,2005,248.459
9,50,5611,2005,0.028
9,50,5911,2005,0.161
9,51,5611,2005,2.224
9,51,5911,2005,27.264
9,113,5611,2005,0.236
9,113,5911,2005,14.078
9,154,5611,2005,0.138
9,154,5911,2005,0.018
9,155,5611,2005,0
9,166,5611,2005,0.266
9,166,5911,2005,45.82
9,168,5611,2005,9.771
9,168,5911,2005,61.493
9,172,5611,2005,2.669
9,172,5911,2005,35.641
9,632,5611,2005,0.569
9,632,5911,2005,52.472
9,633,5611,2005,18.466
9,633,5911,2005,24.845
9,634,5611,2005,6.649
9,634,5911,2005,8.6
9,654,5611,2005,0
9,654,5911,2005,0
9,846,5611,2005,0.2
9,846,5911,2005,31.154
10,15,5611,2005,0.032
10,15,5911,2005,13914.503
10,16,5611,2005,3.442
10,16,5911,2005,259.759
10,17,5611,2005,5.23
10,17,5911,2005,0.242
10,18,5611,2005,39.709
10,18,5911,2005,17.301
10,19,5611,2005,0
10,19,5911,2005,0.112
10,20,5611,2005,3.666
10,20,5911,2005,2.669
10,22,5611,2005,69.471
10,22,5911,2005,28.403
10,23,5611,2005,0.291
10,23,5911,2005,26.015
10,24,5611,2005,7.987
10,24,5911,2005,61.374
10,41,5611,2005,12.279
10,41,5911,2005,16.325
10,49,5611,2005,6.452
10,49,5911,2005,487.436
10,50,5611,2005,0
10,50,5911,2005,9.836
10,51,5611,2005,76.604
10,51,5911,2005,13.008
10,110,5611,2005,3.145
10,110,5911,2005,0.147
10,113,5611,2005,0.787
10,113,5911,2005,1.909
10,154,5611,2005,1.762
10,154,5911,2005,0.018
10,155,5611,2005,0
10,166,5611,2005,0.053
10,166,5911,2005,0.063
10,168,5611,2005,30.685
10,168,5911,2005,11.912
10,172,5611,2005,19.561
10,172,5911,2005,0.385
10,632,5611,2005,10.443
10,632,5911,2005,56.862
10,633,5611,2005,64.141
10,633,5911,2005,13.527
10,634,5611,2005,29.006
10,634,5911,2005,7.908
10,654,5611,2005,0
10,654,5911,2005,0
10,846,5611,2005,1.695
10,846,5911,2005,0
11,15,5611,2005,265.84
11,15,5911,2005,799.601
11,16,5611,2005,49.421
11,16,5911,2005,51.581
11,17,5611,2005,8.329
11,17,5911,2005,30.795
11,18,5611,2005,30.185
11,18,5911,2005,14.83
11,19,5611,2005,0.061
11,19,5911,2005,1.283
11,20,5611,2005,22.987
11,20,5911,2005,4.473
11,22,5611,2005,145.358
11,22,5911,2005,103.019
11,23,5611,2005,6.076
11,23,5911,2005,0.001
11,24,5611,2005,4.041
11,24,5911,2005,0.014
11,41,5611,2005,20.869
11,41,5911,2005,3.015
11,49,5611,2005,63.986
11,49,5911,2005,43.034
11,50,5611,2005,0.567
11,50,5911,2005,0.054
11,51,5611,2005,62.259
11,51,5911,2005,59.661
11,110,5611,2005,0
11,110,5911,2005,0
11,113,5611,2005,6.817
11,113,5911,2005,19.133
11,154,5611,2005,2.559
11,154,5911,2005,0.102
11,155,5611,2005,0.014
11,155,5911,2005,0
11,166,5611,2005,4.44
11,166,5911,2005,0.113
11,168,5611,2005,30.649
11,168,5911,2005,17.714
11,172,5611,2005,171.955
11,172,5911,2005,4.18
11,175,5611,2005,123.194
11,175,5911,2005,0.001
